 Run: data/cwarner/testloc2           
 
  YR DOY DAY     SubN  DrCm3  DrNconc   DrainN NRelease  NUptake     CumDr  CumDrN  ROcm3 RO_Nconc     Ro_N   CumRoN   THRU_N      IrN   CumIrN
2005 186  96 0.487307    0.0 0.000000 0.000000 0.017008 0.008683  10414.1 0.523245 1630.2 0.000000 0.000000 0.523245 0.000000 0.000000 0.000000
2005 187  97 0.494751    0.0 0.000000 0.000000 0.016757 0.009313  10414.1 0.523245 1722.9 0.000000 0.000000 0.523245 0.000000 0.000000 0.000000
2005 188  98 0.504213    0.0 0.000000 0.000000 0.017040 0.007578  10414.1 0.523245 1706.3 0.000000 0.000000 0.523245 0.000000 0.000000 0.000000
2005 189  99 0.507649   14.1 0.000202 0.002838 0.016300 0.010026  10428.2 0.526083 1768.4 0.000002 0.002838 0.526083 0.000000 0.000000 0.000000
2005 190 100 0.494766  118.6 0.000150 0.017753 0.015773 0.010903  10546.8 0.543836 1431.7 0.000012 0.017753 0.543836 0.000000 0.000000 0.000000
2005 191 101 0.474824  329.7 0.000079 0.025982 0.015008 0.008968  10876.6 0.569818 2218.5 0.000012 0.025982 0.569818 0.000000 0.000000 0.000000
2005 192 102 0.454493  420.2 0.000058 0.024407 0.015977 0.011901  11296.8 0.594225 2352.9 0.000010 0.024407 0.594225 0.000000 0.000000 0.000000
2005 193 103 0.457607    0.0 0.000000 0.000000 0.015576 0.012461  11296.8 0.594225 1170.7 0.000000 0.000000 0.594225 0.000000 0.000000 0.000000
2005 194 104 0.462141    0.0 0.000000 0.000000 0.015944 0.011410  11296.8 0.594225  965.7 0.000000 0.000000 0.594225 0.000000 0.000000 0.000000
2005 195 105 0.442109  277.5 0.000086 0.023785 0.015813 0.012061  11574.2 0.618010 2432.7 0.000010 0.023785 0.618010 0.000000 0.000000 0.000000
2005 196 106 0.447220    0.0 0.000000 0.000000 0.015884 0.010773  11574.2 0.618010 1398.2 0.000000 0.000000 0.618010 0.000000 0.000000 0.000000
2005 197 107 0.451276    0.0 0.000000 0.000000 0.015672 0.011615  11574.2 0.618010 1546.0 0.000000 0.000000 0.618010 0.000000 0.000000 0.000000
2005 198 108 0.435603  174.9 0.000113 0.019747 0.015444 0.011371  11749.2 0.637757 2060.3 0.000010 0.019747 0.637757 0.000000 0.000000 0.000000
2005 199 109 0.431771    0.0 0.000000 0.000000 0.015478 0.019310  11749.2 0.637757 1039.6 0.000000 0.000000 0.637757 0.000000 0.000000 0.000000
2005 200 110 0.408957  166.9 0.000111 0.018453 0.015046 0.019407  11916.1 0.656210 2153.3 0.000009 0.018453 0.656210 0.000000 0.000000 0.000000
2005 201 111 0.404943    0.0 0.000000 0.000000 0.015320 0.019334  11916.1 0.656210 1038.9 0.000000 0.000000 0.656210 0.000000 0.000000 0.000000
2005 202 112 0.400858    0.0 0.000000 0.000000 0.015338 0.019422  11916.1 0.656210 1387.3 0.000000 0.000000 0.656210 0.000000 0.000000 0.000000
2005 203 113 0.396645    0.0 0.000000 0.000000 0.015308 0.019522  11916.1 0.656210 1482.9 0.000000 0.000000 0.656210 0.000000 0.000000 0.000000
2005 204 114 0.382516   72.4 0.000134 0.009686 0.015169 0.019612  11988.4 0.665896 1882.6 0.000005 0.009686 0.665896 0.000000 0.000000 0.000000
2005 205 115 0.376401   10.1 0.000155 0.001556 0.014986 0.019545  11998.5 0.667452  886.0 0.000002 0.001556 0.667452 0.000000 0.000000 0.000000
2005 206 116 0.371591    0.0 0.000000 0.000000 0.014773 0.019583  11998.5 0.667452 1183.7 0.000000 0.000000 0.667452 0.000000 0.000000 0.000000
2005 207 117 0.366562    0.0 0.000000 0.000000 0.014619 0.019648  11998.5 0.667452 1518.3 0.000000 0.000000 0.667452 0.000000 0.000000 0.000000
2005 208 118 0.361575    0.0 0.000000 0.000000 0.014755 0.019742  11998.5 0.667452 1658.1 0.000000 0.000000 0.667452 0.000000 0.000000 0.000000
2005 209 119 0.337643  307.6 0.000061 0.018895 0.014787 0.019824  12306.1 0.686347 3039.6 0.000006 0.018895 0.686347 0.000000 0.000000 0.000000
2005 210 120 0.315690  474.5 0.000035 0.016728 0.014470 0.019696  12780.6 0.703074 3509.2 0.000005 0.016728 0.703074 0.000000 0.000000 0.000000
2006  91   1 0.592507    0.0 0.000000 0.000000 0.000224 0.000967      0.0 0.000000    0.0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2006  92   2 0.592033    0.0 0.000000 0.000000 0.000496 0.000970      0.0 0.000000    9.8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2006  93   3 0.591893    0.0 0.000000 0.000000 0.000844 0.000984      0.0 0.000000   10.0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2006  94   4 0.591840    0.0 0.000000 0.000000 0.000954 0.001007      0.0 0.000000   10.4 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2006  95   5 0.591849    0.0 0.000000 0.000000 0.001054 0.001045      0.0 0.000000    9.1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2006  96   6 0.592044    0.0 0.000000 0.000000 0.001298 0.001103      0.0 0.000000   10.6 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2006  97   7 0.592757    0.0 0.000000 0.000000 0.001900 0.001187      0.0 0.000000   10.6 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
