 Run: data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	Day	Ndays	d_TW	d_TW	d_TW	d_RW	d_RW	d_RW	TW	TW	TW	RW	RW	RW	N_TOP	N_TOP	N_TOP	N_ROOT	N_ROOT	N_ROOT	Tact	Tact	Tact	Ract	Ract	Ract	Topt	Topt	Topt	Ropt	Ropt	Ropt	NDemand	NDemand	NDemand	NUptake	NUptake	NUptake	NSupply	NSupply	NSupply	NSUF	NSUF	NSUF	WSUF	WSUF	WSUF	NupCum	NupCum	NupCum
350	36	1	0.04104	0.04104	0.04104	0.03482	0.03482	0.03482	2.1	2.1	2.1	2.1	2.1	2.1	0.03104	0.03104	0.03104	0.02668	0.02668	0.02668	1.49	1.49	1.49	1.29	1.29	1.29	1.49	1.49	1.49	1.29	1.29	1.29	0.00138	0.00138	0.00138	0.00138	0.00138	0.00138	0.00598	0.00598	0.00598	1.000	1.000	1	1.000	1.000	1	0.028	0.028	0.028
351	37	1	0.04403	0.04403	0.04403	0.02756	0.02756	0.02756	2.1	2.1	2.1	2.1	2.1	2.1	0.03187	0.03187	0.03187	0.02721	0.02721	0.02721	1.49	1.49	1.49	1.29	1.29	1.29	1.49	1.49	1.49	1.29	1.29	1.29	0.00135	0.00135	0.00135	0.00135	0.00135	0.00135	0.00609	0.00609	0.00609	1.000	1.000	1	1.000	1.000	1	0.030	0.030	0.03
352	38	1	0.02422	0.02422	0.02422	0.00710	0.00710	0.00710	2.2	2.2	2.2	2.1	2.1	2.1	0.03232	0.03232	0.03232	0.02739	0.02739	0.02739	1.50	1.50	1.5	1.30	1.30	1.3	1.50	1.50	1.5	1.30	1.30	1.3	0.00063	0.00063	0.00063	0.00063	0.00063	0.00063	0.00618	0.00618	0.00618	1.000	1.000	1	1.000	1.000	1	0.030	0.030	0.03
353	39	1	0.02710	0.02710	0.02710	0.03088	0.03088	0.03088	2.2	2.2	2.2	2.1	2.1	2.1	0.03283	0.03283	0.03283	0.02789	0.02789	0.02789	1.50	1.50	1.5	1.30	1.30	1.3	1.50	1.50	1.5	1.30	1.30	1.3	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00621	0.00621	0.00621	1.000	1.000	1	1.000	1.000	1	0.031	0.031	0.031
354	40	1	0.04409	0.04409	0.04409	0.03851	0.03851	0.03851	2.2	2.2	2.2	2.2	2.2	2.2	0.03365	0.03365	0.03365	0.02855	0.02855	0.02855	1.51	1.51	1.51	1.31	1.31	1.31	1.51	1.51	1.51	1.31	1.31	1.31	0.00148	0.00148	0.00148	0.00148	0.00148	0.00148	0.00630	0.00630	0.00630	1.000	1.000	1	1.000	1.000	1	0.033	0.033	0.033
355	41	1	0.06808	0.06808	0.06808	0.03007	0.03007	0.03007	2.3	2.3	2.3	2.2	2.2	2.2	0.03493	0.03493	0.03493	0.02918	0.02918	0.02918	1.52	1.52	1.52	1.32	1.32	1.32	1.52	1.52	1.52	1.32	1.32	1.32	0.00190	0.00190	0.00190	0.00190	0.00190	0.00190	0.00642	0.00642	0.00642	1.000	1.000	1	1.000	1.000	1	0.035	0.035	0.035
356	42	1	0.06451	0.06451	0.06451	0.01185	0.01185	0.01185	2.4	2.4	2.4	2.2	2.2	2.2	0.03614	0.03614	0.03614	0.02955	0.02955	0.02955	1.53	1.53	1.53	1.33	1.33	1.33	1.53	1.53	1.53	1.33	1.33	1.33	0.00157	0.00157	0.00157	0.00157	0.00157	0.00157	0.00652	0.00652	0.00652	1.000	1.000	1	1.000	1.000	1	0.036	0.036	0.036
357	43	1	0.08793	0.08793	0.08793	0.02520	0.02520	0.02520	2.4	2.4	2.4	2.2	2.2	2.2	0.03779	0.03779	0.03779	0.03016	0.03016	0.03016	1.54	1.54	1.54	1.34	1.34	1.34	1.54	1.54	1.54	1.34	1.34	1.34	0.00226	0.00226	0.00226	0.00226	0.00226	0.00226	0.00657	0.00657	0.00657	1.000	1.000	1	1.000	1.000	1	0.038	0.038	0.038
358	44	1	0.08419	0.08419	0.08419	0.01383	0.01383	0.01383	2.5	2.5	2.5	2.3	2.3	2.3	0.03937	0.03937	0.03937	0.03060	0.03060	0.03060	1.55	1.55	1.55	1.35	1.35	1.35	1.55	1.55	1.55	1.35	1.35	1.35	0.00202	0.00202	0.00202	0.00202	0.00202	0.00202	0.00666	0.00666	0.00666	1.000	1.000	1	1.000	1.000	1	0.040	0.040	0.04
359	45	1	0.08197	0.08197	0.08197	0.03068	0.03068	0.03068	2.6	2.6	2.6	2.3	2.3	2.3	0.04092	0.04092	0.04092	0.03126	0.03126	0.03126	1.57	1.57	1.57	1.37	1.37	1.37	1.57	1.57	1.57	1.37	1.37	1.37	0.00219	0.00219	0.00219	0.00219	0.00219	0.00219	0.00672	0.00672	0.00672	1.000	1.000	1	1.000	1.000	1	0.043	0.043	0.043
