 Run: data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	SubN	SubN	SubN	DrCm3	DrCm3	DrCm3	DrNconc	DrNconc	DrNconc	DrainN	DrainN	DrainN	NReleas	NReleas	NReleas	NUptake	NUptake	NUptake	CumDr	CumDr	CumDr	CumDrN	CumDrN	CumDrN	ROcm3	ROcm3	ROcm3	RO_Ncon	RO_Ncon	RO_Ncon	Ro_N	Ro_N	Ro_N	CumRoN	CumRoN	CumRoN	THRU_N	THRU_N	THRU_N	IrN	IrN	IrN	CumIrN	CumIrN	CumIrN
350	36	1	0.56173	0.56173	0.56173	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00546	0.00546	0.00546	0.00138	0.00138	0.00138	762.7	762.7	762.7	0.10739	0.10739	0.10739	11.4	11.4	11.4	0.00000	0.00000	0	0.00000	0.00000	0	0.10739	0.10739	0.10739	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
351	37	1	0.56585	0.56585	0.56585	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00546	0.00546	0.00546	0.00135	0.00135	0.00135	762.7	762.7	762.7	0.10739	0.10739	0.10739	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.10739	0.10739	0.10739	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
352	38	1	0.56940	0.56940	0.56940	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00419	0.00419	0.00419	0.00063	0.00063	0.00063	762.7	762.7	762.7	0.10739	0.10739	0.10739	9.7	9.7	9.7	0.00000	0.00000	0	0.00000	0.00000	0	0.10739	0.10739	0.10739	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
353	39	1	0.57339	0.57339	0.57339	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00499	0.00499	0.00499	0.00100	0.00100	0.00100	762.7	762.7	762.7	0.10739	0.10739	0.10739	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.10739	0.10739	0.10739	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
354	40	1	0.57794	0.57794	0.57794	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00603	0.00603	0.00603	0.00148	0.00148	0.00148	762.7	762.7	762.7	0.10739	0.10739	0.10739	10.1	10.1	10.1	0.00000	0.00000	0	0.00000	0.00000	0	0.10739	0.10739	0.10739	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
355	41	1	0.58315	0.58315	0.58315	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00712	0.00712	0.00712	0.00190	0.00190	0.00190	762.7	762.7	762.7	0.10739	0.10739	0.10739	6.5	6.5	6.5	0.00000	0.00000	0	0.00000	0.00000	0	0.10739	0.10739	0.10739	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
356	42	1	0.58916	0.58916	0.58916	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00758	0.00758	0.00758	0.00157	0.00157	0.00157	762.7	762.7	762.7	0.10739	0.10739	0.10739	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.10739	0.10739	0.10739	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
357	43	1	0.59523	0.59523	0.59523	2.0	2.0	2	0.00024	0.00024	0.00024	0.00049	0.00049	0.00049	0.00882	0.00882	0.00882	0.00226	0.00226	0.00226	764.8	764.8	764.8	0.10788	0.10788	0.10788	12.2	12.2	12.2	0.00004	0.00004	4.E-5	0.00049	0.00049	0.00049	0.10788	0.10788	0.10788	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
358	44	1	0.60086	0.60086	0.60086	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00765	0.00765	0.00765	0.00202	0.00202	0.00202	764.8	764.8	764.8	0.10788	0.10788	0.10788	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.10788	0.10788	0.10788	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
359	45	1	0.60659	0.60659	0.60659	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00792	0.00792	0.00792	0.00219	0.00219	0.00219	764.8	764.8	764.8	0.10788	0.10788	0.10788	9.5	9.5	9.5	0.00000	0.00000	0	0.00000	0.00000	0	0.10788	0.10788	0.10788	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
360	46	1	0.61173	0.61173	0.61173	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00714	0.00714	0.00714	0.00200	0.00200	0.00200	764.8	764.8	764.8	0.10788	0.10788	0.10788	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.10788	0.10788	0.10788	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
361	47	1	0.60114	0.60114	0.60114	73.5	73.5	73.5	0.00020	0.00020	0.00020	0.01512	0.01512	0.01512	0.00636	0.00636	0.00636	0.00182	0.00182	0.00182	838.3	838.3	838.3	0.12300	0.12300	0.12300	94.0	94.0	94	0.00016	0.00016	0.00016	0.01512	0.01512	0.01512	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
362	48	1	0.60578	0.60578	0.60578	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00498	0.00498	0.00498	0.00034	0.00034	0.00034	838.3	838.3	838.3	0.12300	0.12300	0.12300	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
363	49	1	0.61026	0.61026	0.61026	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00556	0.00556	0.00556	0.00108	0.00108	0.00108	838.3	838.3	838.3	0.12300	0.12300	0.12300	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
364	50	1	0.61503	0.61503	0.61503	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00608	0.00608	0.00608	0.00131	0.00131	0.00131	838.3	838.3	838.3	0.12300	0.12300	0.12300	8.1	8.1	8.1	0.00000	0.00000	0	0.00000	0.00000	0	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
365	51	1	0.62113	0.62113	0.62113	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00798	0.00798	0.00798	0.00188	0.00188	0.00188	838.3	838.3	838.3	0.12300	0.12300	0.12300	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
1	52	1	0.62662	0.62662	0.62662	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00769	0.00769	0.00769	0.00220	0.00220	0.00220	838.3	838.3	838.3	0.12300	0.12300	0.12300	10.1	10.1	10.1	0.00000	0.00000	0	0.00000	0.00000	0	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
2	53	1	0.63132	0.63132	0.63132	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00609	0.00609	0.00609	0.00139	0.00139	0.00139	838.3	838.3	838.3	0.12300	0.12300	0.12300	2.3	2.3	2.3	0.00000	0.00000	0	0.00000	0.00000	0	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
3	54	1	0.63562	0.63562	0.63562	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00430	0.00430	0.00430	0.00000	0.00000	7.E-6	838.3	838.3	838.3	0.12300	0.12300	0.12300	7.6	7.6	7.6	0.00000	0.00000	0	0.00000	0.00000	0	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
4	55	1	0.64021	0.64021	0.64021	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00460	0.00460	0.00460	0.00000	0.00000	7.E-6	838.3	838.3	838.3	0.12300	0.12300	0.12300	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
5	56	1	0.64568	0.64568	0.64568	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00571	0.00571	0.00571	0.00024	0.00024	0.00024	838.3	838.3	838.3	0.12300	0.12300	0.12300	7.4	7.4	7.4	0.00000	0.00000	0	0.00000	0.00000	0	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
6	57	1	0.65122	0.65122	0.65122	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00716	0.00716	0.00716	0.00162	0.00162	0.00162	838.3	838.3	838.3	0.12300	0.12300	0.12300	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
7	58	1	0.65720	0.65720	0.6572	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00799	0.00799	0.00799	0.00201	0.00201	0.00201	838.3	838.3	838.3	0.12300	0.12300	0.12300	11.0	11.0	11	0.00000	0.00000	0	0.00000	0.00000	0	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
8	59	1	0.66362	0.66362	0.66362	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00834	0.00834	0.00834	0.00192	0.00192	0.00192	838.3	838.3	838.3	0.12300	0.12300	0.12300	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
9	60	1	0.67013	0.67013	0.67013	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00878	0.00878	0.00878	0.00227	0.00227	0.00227	838.3	838.3	838.3	0.12300	0.12300	0.12300	12.0	12.0	12	0.00000	0.00000	0	0.00000	0.00000	0	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
10	61	1	0.67672	0.67672	0.67672	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00893	0.00893	0.00893	0.00233	0.00233	0.00233	838.3	838.3	838.3	0.12300	0.12300	0.12300	6.7	6.7	6.7	0.00000	0.00000	0	0.00000	0.00000	0	0.12300	0.12300	0.12300	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
