 RUN:  data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	Day	Ndays	d_TW	d_TW	d_TW	d_RW	d_RW	d_RW	TW	TW	TW	RW	RW	RW	P_TOP	P_TOP	P_TOP	P_ROOT	P_ROOT	P_ROOT	Tact	Tact	Tact	Ract	Ract	Ract	Topt	Topt	Topt	Ropt	Ropt	Ropt	PDemand	PDemand	PDemand	PUptake	PUptake	PUptake	PSupply	PSupply	PSupply	PSUF	PSUF	PSUF	WSUF	WSUF	WSUF	PupCum	PupCum	PupCum
347	33	1	0.01488	0.01488	0.01488	0.00165	0.00165	0.00165	2.0	2.0	2	2.0	2.0	2	0.00370	0.00370	0.00370	0.00332	0.00332	0.00332	0.19	0.19	0.19	0.17	0.17	0.17	0.19	0.19	0.19	0.17	0.17	0.17	0.00008	0.00008	8.E-5	0.00008	0.00008	8.E-5	0.09729	0.09729	0.09729	1.000	1.000	1	1.000	1.000	1	0.003	0.003	0.003
348	34	1	0.03510	0.03510	0.03510	0.01804	0.01804	0.01804	2.0	2.0	2	2.0	2.0	2	0.00379	0.00379	0.00379	0.00337	0.00337	0.00337	0.19	0.19	0.19	0.17	0.17	0.17	0.19	0.19	0.19	0.17	0.17	0.17	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.09813	0.09813	0.09813	1.000	1.000	1	1.000	1.000	1	0.003	0.003	0.003
349	35	1	0.03718	0.03718	0.03718	0.03789	0.03789	0.03789	2.0	2.0	2	2.0	2.0	2	0.00388	0.00388	0.00388	0.00346	0.00346	0.00346	0.19	0.19	0.19	0.17	0.17	0.17	0.19	0.19	0.19	0.17	0.17	0.17	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.09973	0.09973	0.09973	1.000	1.000	1	1.000	1.000	1	0.004	0.004	0.004
350	36	1	0.04104	0.04104	0.04104	0.03482	0.03482	0.03482	2.1	2.1	2.1	2.1	2.1	2.1	0.00398	0.00398	0.00398	0.00354	0.00354	0.00354	0.19	0.19	0.19	0.17	0.17	0.17	0.19	0.19	0.19	0.17	0.17	0.17	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.10225	0.10225	0.10225	1.000	1.000	1	1.000	1.000	1	0.004	0.004	0.004
351	37	1	0.04403	0.04403	0.04403	0.02756	0.02756	0.02756	2.1	2.1	2.1	2.1	2.1	2.1	0.00409	0.00409	0.00409	0.00361	0.00361	0.00361	0.19	0.19	0.19	0.17	0.17	0.17	0.19	0.19	0.19	0.17	0.17	0.17	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.10467	0.10467	0.10467	1.000	1.000	1	1.000	1.000	1	0.004	0.004	0.004
352	38	1	0.02422	0.02422	0.02422	0.00710	0.00710	0.00710	2.2	2.2	2.2	2.1	2.1	2.1	0.00415	0.00415	0.00415	0.00364	0.00364	0.00364	0.19	0.19	0.19	0.17	0.17	0.17	0.19	0.19	0.19	0.17	0.17	0.17	0.00008	0.00008	8.E-5	0.00008	0.00008	8.E-5	0.10678	0.10678	0.10678	1.000	1.000	1	1.000	1.000	1	0.004	0.004	0.004
353	39	1	0.02710	0.02710	0.02710	0.03088	0.03088	0.03088	2.2	2.2	2.2	2.1	2.1	2.1	0.00422	0.00422	0.00422	0.00370	0.00370	0.00370	0.19	0.19	0.19	0.17	0.17	0.17	0.19	0.19	0.19	0.17	0.17	0.17	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.10784	0.10784	0.10784	1.000	1.000	1	1.000	1.000	1	0.004	0.004	0.004
354	40	1	0.04409	0.04409	0.04409	0.03851	0.03851	0.03851	2.2	2.2	2.2	2.2	2.2	2.2	0.00433	0.00433	0.00433	0.00379	0.00379	0.00379	0.19	0.19	0.19	0.17	0.17	0.17	0.19	0.19	0.19	0.17	0.17	0.17	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.11009	0.11009	0.11009	1.000	1.000	1	1.000	1.000	1	0.004	0.004	0.004
355	41	1	0.06808	0.06808	0.06808	0.03007	0.03007	0.03007	2.3	2.3	2.3	2.2	2.2	2.2	0.00449	0.00449	0.00449	0.00388	0.00388	0.00388	0.20	0.20	0.2	0.18	0.18	0.18	0.20	0.20	0.2	0.18	0.18	0.18	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.11284	0.11284	0.11284	1.000	1.000	1	1.000	1.000	1	0.005	0.005	0.005
356	42	1	0.06451	0.06451	0.06451	0.01185	0.01185	0.01185	2.4	2.4	2.4	2.2	2.2	2.2	0.00465	0.00465	0.00465	0.00393	0.00393	0.00393	0.20	0.20	0.2	0.18	0.18	0.18	0.20	0.20	0.2	0.18	0.18	0.18	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.11535	0.11535	0.11535	1.000	1.000	1	1.000	1.000	1	0.005	0.005	0.005
357	43	1	0.08793	0.08793	0.08793	0.02520	0.02520	0.02520	2.4	2.4	2.4	2.2	2.2	2.2	0.00487	0.00487	0.00487	0.00402	0.00402	0.00402	0.20	0.20	0.2	0.18	0.18	0.18	0.20	0.20	0.2	0.18	0.18	0.18	0.00030	0.00030	0.00030	0.00030	0.00030	0.00030	0.11719	0.11719	0.11719	1.000	1.000	1	1.000	1.000	1	0.005	0.005	0.005
358	44	1	0.08419	0.08419	0.08419	0.01383	0.01383	0.01383	2.5	2.5	2.5	2.3	2.3	2.3	0.00508	0.00508	0.00508	0.00408	0.00408	0.00408	0.20	0.20	0.2	0.18	0.18	0.18	0.20	0.20	0.2	0.18	0.18	0.18	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.11973	0.11973	0.11973	1.000	1.000	1	1.000	1.000	1	0.005	0.005	0.005
359	45	1	0.08197	0.08197	0.08197	0.03068	0.03068	0.03068	2.6	2.6	2.6	2.3	2.3	2.3	0.00528	0.00528	0.00528	0.00417	0.00417	0.00417	0.20	0.20	0.2	0.18	0.18	0.18	0.20	0.20	0.2	0.18	0.18	0.18	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.12160	0.12160	0.12160	1.000	1.000	1	1.000	1.000	1	0.006	0.006	0.006
360	46	1	0.08104	0.08104	0.08104	0.01819	0.01819	0.01819	2.7	2.7	2.7	2.3	2.3	2.3	0.00548	0.00548	0.00548	0.00423	0.00423	0.00423	0.20	0.20	0.2	0.18	0.18	0.18	0.20	0.20	0.2	0.18	0.18	0.18	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.12432	0.12432	0.12432	1.000	1.000	1	1.000	1.000	1	0.006	0.006	0.006
