 RUN:  data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	SubP	SubP	SubP	DrCm3	DrCm3	DrCm3	DrPconc	DrPconc	DrPconc	DrainP	DrainP	DrainP	PReleas	PReleas	PReleas	PUptake	PUptake	PUptake	CumDr	CumDr	CumDr	CumDrP	CumDrP	CumDrP	ROcm3	ROcm3	ROcm3	RO_Pcon	RO_Pcon	RO_Pcon	Ro_P	Ro_P	Ro_P	CumRoP	CumRoP	CumRoP	THRU_P	THRU_P	THRU_P	IrP	IrP	IrP	CumIrP	CumIrP	CumIrP
348	34	1	0.08825	0.08825	0.08825	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00072	0.00072	0.00072	0.00013	0.00013	0.00013	762.7	762.7	762.7	0.00810	0.00810	0.00810	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00810	0.00810	0.00810	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
349	35	1	0.08884	0.08884	0.08884	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00077	0.00077	0.00077	0.00017	0.00017	0.00017	762.7	762.7	762.7	0.00810	0.00810	0.00810	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00810	0.00810	0.00810	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
350	36	1	0.08945	0.08945	0.08945	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00079	0.00079	0.00079	0.00018	0.00018	0.00018	762.7	762.7	762.7	0.00810	0.00810	0.00810	11.4	11.4	11.4	0.00000	0.00000	0	0.00000	0.00000	0	0.00810	0.00810	0.00810	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
351	37	1	0.09006	0.09006	0.09006	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00079	0.00079	0.00079	0.00018	0.00018	0.00018	762.7	762.7	762.7	0.00810	0.00810	0.00810	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00810	0.00810	0.00810	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
352	38	1	0.09059	0.09059	0.09059	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00060	0.00060	0.00060	0.00008	0.00008	8.E-5	762.7	762.7	762.7	0.00810	0.00810	0.00810	9.7	9.7	9.7	0.00000	0.00000	0	0.00000	0.00000	0	0.00810	0.00810	0.00810	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
353	39	1	0.09118	0.09118	0.09118	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00072	0.00072	0.00072	0.00013	0.00013	0.00013	762.7	762.7	762.7	0.00810	0.00810	0.00810	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00810	0.00810	0.00810	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
354	40	1	0.09186	0.09186	0.09186	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00087	0.00087	0.00087	0.00019	0.00019	0.00019	762.7	762.7	762.7	0.00810	0.00810	0.00810	10.1	10.1	10.1	0.00000	0.00000	0	0.00000	0.00000	0	0.00810	0.00810	0.00810	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
355	41	1	0.09264	0.09264	0.09264	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00103	0.00103	0.00103	0.00025	0.00025	0.00025	762.7	762.7	762.7	0.00810	0.00810	0.00810	6.5	6.5	6.5	0.00000	0.00000	0	0.00000	0.00000	0	0.00810	0.00810	0.00810	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
356	42	1	0.09353	0.09353	0.09353	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00110	0.00110	0.00110	0.00021	0.00021	0.00021	762.7	762.7	762.7	0.00810	0.00810	0.00810	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00810	0.00810	0.00810	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
357	43	1	0.09448	0.09448	0.09448	2.0	2.0	2	0.00001	0.00001	1.E-5	0.00003	0.00003	3.E-5	0.00128	0.00128	0.00128	0.00030	0.00030	0.00030	764.8	764.8	764.8	0.00814	0.00814	0.00814	12.2	12.2	12.2	0.00000	0.00000	3.E-6	0.00003	0.00003	3.E-5	0.00814	0.00814	0.00814	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
