 RUN:  data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	Tmean	Tmean	Tmean	VP	VP	VP	TFac	TFac	TFac	Rate	Rate	Rate	PRel	PRel	PRel	CumPRel	CumPRel	CumPRel	CRF_P	CRF_P	CRF_P	PDemand	PDemand	PDemand	FD	FD	FD	AvT	AvT	AvT	AvFD	AvFD	AvFD	PRel2	PRel2	PRel2	CRF_P2	CRF_P2	CRF_P2	AvT2	AvT2	AvT2	FD2	FD2	FD2	SUB_P	SUB_P	SUB_P	RD2	RD2	RD2
347	33	1	14.15	14.15	14.15	1.615	1.615	1.615	0.863	0.863	0.863	0.00147	0.00147	0.00147	0.00064	0.00064	0.00064	0.01185	0.01185	0.01185	0.42414	0.42414	0.42414	0.00008	0.00008	8.E-5	300.1	300.1	300.1	16.2	16.2	16.2	284.5	284.5	284.5	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08766	0.08766	0.08766	-99	-99	-99
348	34	1	15.80	15.80	15.8	1.798	1.798	1.798	0.902	0.902	0.902	0.00166	0.00166	0.00166	0.00072	0.00072	0.00072	0.01257	0.01257	0.01257	0.42342	0.42342	0.42342	0.00013	0.00013	0.00013	287.2	287.2	287.2	16.2	16.2	16.2	284.5	284.5	284.5	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08825	0.08825	0.08825	-99	-99	-99
349	35	1	16.30	16.30	16.3	1.868	1.868	1.868	0.917	0.917	0.917	0.00176	0.00176	0.00176	0.00077	0.00077	0.00077	0.01334	0.01334	0.01334	0.42265	0.42265	0.42265	0.00017	0.00017	0.00017	282.6	282.6	282.6	16.2	16.2	16.2	284.5	284.5	284.5	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08884	0.08884	0.08884	-99	-99	-99
350	36	1	16.40	16.40	16.4	1.875	1.875	1.875	0.918	0.918	0.918	0.00182	0.00182	0.00182	0.00079	0.00079	0.00079	0.01414	0.01414	0.01414	0.42185	0.42185	0.42185	0.00018	0.00018	0.00018	282.1	282.1	282.1	16.2	16.2	16.2	284.4	284.4	284.4	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08945	0.08945	0.08945	-99	-99	-99
351	37	1	15.90	15.90	15.9	1.813	1.813	1.813	0.905	0.905	0.905	0.00182	0.00182	0.00182	0.00079	0.00079	0.00079	0.01493	0.01493	0.01493	0.42106	0.42106	0.42106	0.00018	0.00018	0.00018	286.2	286.2	286.2	16.2	16.2	16.2	284.5	284.5	284.5	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09006	0.09006	0.09006	-99	-99	-99
352	38	1	10.00	10.00	10	1.232	1.232	1.232	0.782	0.782	0.782	0.00139	0.00139	0.00139	0.00060	0.00060	0.00060	0.01554	0.01554	0.01554	0.42045	0.42045	0.42045	0.00008	0.00008	8.E-5	331.0	331.0	331	16.0	16.0	16	285.7	285.7	285.7	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09059	0.09059	0.09059	-99	-99	-99
353	39	1	13.05	13.05	13.05	1.520	1.520	1.52	0.843	0.843	0.843	0.00166	0.00166	0.00166	0.00072	0.00072	0.00072	0.01627	0.01627	0.01627	0.41972	0.41972	0.41972	0.00013	0.00013	0.00013	307.2	307.2	307.2	15.9	15.9	15.9	286.2	286.2	286.2	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09118	0.09118	0.09118	-99	-99	-99
354	40	1	16.20	16.20	16.2	1.859	1.859	1.859	0.915	0.915	0.915	0.00201	0.00201	0.00201	0.00087	0.00087	0.00087	0.01714	0.01714	0.01714	0.41885	0.41885	0.41885	0.00019	0.00019	0.00019	283.2	283.2	283.2	15.9	15.9	15.9	286.2	286.2	286.2	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09186	0.09186	0.09186	-99	-99	-99
355	41	1	18.75	18.75	18.75	2.178	2.178	2.178	0.982	0.982	0.982	0.00237	0.00237	0.00237	0.00103	0.00103	0.00103	0.01818	0.01818	0.01818	0.41781	0.41781	0.41781	0.00025	0.00025	0.00025	263.8	263.8	263.8	16.0	16.0	16	285.6	285.6	285.6	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09264	0.09264	0.09264	-99	-99	-99
356	42	1	19.50	19.50	19.5	2.270	2.270	2.27	1.001	1.001	1.001	0.00253	0.00253	0.00253	0.00110	0.00110	0.00110	0.01928	0.01928	0.01928	0.41671	0.41671	0.41671	0.00021	0.00021	0.00021	258.7	258.7	258.7	16.1	16.1	16.1	285.0	285.0	285	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09353	0.09353	0.09353	-99	-99	-99
357	43	1	21.45	21.45	21.45	2.582	2.582	2.582	1.067	1.067	1.067	0.00294	0.00294	0.00294	0.00128	0.00128	0.00128	0.02056	0.02056	0.02056	0.41543	0.41543	0.41543	0.00030	0.00030	0.00030	242.7	242.7	242.7	16.2	16.2	16.2	284.0	284.0	284	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09448	0.09448	0.09448	-99	-99	-99
358	44	1	18.85	18.85	18.85	2.182	2.182	2.182	0.983	0.983	0.983	0.00255	0.00255	0.00255	0.00111	0.00111	0.00111	0.02168	0.02168	0.02168	0.41431	0.41431	0.41431	0.00026	0.00026	0.00026	263.6	263.6	263.6	16.3	16.3	16.3	283.5	283.5	283.5	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09532	0.09532	0.09532	-99	-99	-99
359	45	1	19.00	19.00	19	2.208	2.208	2.208	0.988	0.988	0.988	0.00264	0.00264	0.00264	0.00115	0.00115	0.00115	0.02283	0.02283	0.02283	0.41316	0.41316	0.41316	0.00029	0.00029	0.00029	262.1	262.1	262.1	16.3	16.3	16.3	283.1	283.1	283.1	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09618	0.09618	0.09618	-99	-99	-99
360	46	1	16.85	16.85	16.85	1.924	1.924	1.924	0.928	0.928	0.928	0.00238	0.00238	0.00238	0.00103	0.00103	0.00103	0.02387	0.02387	0.02387	0.41212	0.41212	0.41212	0.00026	0.00026	0.00026	279.0	279.0	279	16.4	16.4	16.4	283.0	283.0	283	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09695	0.09695	0.09695	-99	-99	-99
361	47	1	14.25	14.25	14.25	1.632	1.632	1.632	0.867	0.867	0.867	0.00212	0.00212	0.00212	0.00092	0.00092	0.00092	0.02479	0.02479	0.02479	0.41120	0.41120	0.41120	0.00024	0.00024	0.00024	298.8	298.8	298.8	16.3	16.3	16.3	283.3	283.3	283.3	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09643	0.09643	0.09643	-99	-99	-99
362	48	1	8.65	8.65	8.65	1.123	1.123	1.123	0.759	0.759	0.759	0.00166	0.00166	0.00166	0.00072	0.00072	0.00072	0.02552	0.02552	0.02552	0.41047	0.41047	0.41047	0.00004	0.00004	4.E-5	341.1	341.1	341.1	16.2	16.2	16.2	284.5	284.5	284.5	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09711	0.09711	0.09711	-99	-99	-99
363	49	1	10.55	10.55	10.55	1.286	1.286	1.286	0.794	0.794	0.794	0.00185	0.00185	0.00185	0.00080	0.00080	0.00080	0.02632	0.02632	0.02632	0.40967	0.40967	0.40967	0.00014	0.00014	0.00014	326.3	326.3	326.3	16.0	16.0	16	285.4	285.4	285.4	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09777	0.09777	0.09777	-99	-99	-99
364	50	1	12.05	12.05	12.05	1.419	1.419	1.419	0.822	0.822	0.822	0.00202	0.00202	0.00202	0.00088	0.00088	0.00088	0.02721	0.02721	0.02721	0.40878	0.40878	0.40878	0.00017	0.00017	0.00017	315.2	315.2	315.2	16.0	16.0	16	286.0	286.0	286	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09848	0.09848	0.09848	-99	-99	-99
365	51	1	17.00	17.00	17	1.941	1.941	1.941	0.932	0.932	0.932	0.00266	0.00266	0.00266	0.00116	0.00116	0.00116	0.02837	0.02837	0.02837	0.40762	0.40762	0.40762	0.00025	0.00025	0.00025	278.0	278.0	278	16.0	16.0	16	285.8	285.8	285.8	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.09939	0.09939	0.09939	-99	-99	-99
1	52	1	15.90	15.90	15.9	1.819	1.819	1.819	0.906	0.906	0.906	0.00256	0.00256	0.00256	0.00111	0.00111	0.00111	0.02949	0.02949	0.02949	0.40650	0.40650	0.40650	0.00029	0.00029	0.00029	285.8	285.8	285.8	16.0	16.0	16	285.8	285.8	285.8	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.10022	0.10022	0.10022	-99	-99	-99
2	53	1	10.90	10.90	10.9	1.310	1.310	1.31	0.799	0.799	0.799	0.00203	0.00203	0.00203	0.00088	0.00088	0.00088	0.03037	0.03037	0.03037	0.40562	0.40562	0.40562	0.00018	0.00018	0.00018	324.2	324.2	324.2	15.9	15.9	15.9	286.5	286.5	286.5	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.10092	0.10092	0.10092	-99	-99	-99
3	54	1	1.25	1.25	1.25	0.675	0.675	0.675	0.665	0.665	0.665	0.00143	0.00143	0.00143	0.00062	0.00062	0.00062	0.03100	0.03100	0.03100	0.40499	0.40499	0.40499	0.00000	0.00000	1.E-6	389.6	389.6	389.6	15.6	15.6	15.6	288.4	288.4	288.4	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.10154	0.10154	0.10154	-99	-99	-99
